time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2020-06-01,248.41,251.46,230.59,231.54,216373.64,52367887.54,force_direct,
2020-06-02,237.71,253.6,225.6,248.41,270793.52,65011988.98,force_direct,
2020-06-03,244.6,245.39,233.28,237.71,112638.14,26975466.98,force_direct,
2020-06-04,243.18,246.73,236.17,244.6,159033.02,38642724.3,force_direct,
2020-06-05,240.04,247.9,238.65,243.18,117168.7,28400761.79,force_direct,
2020-06-06,241.98,244.52,237.67,240.04,60096.72,14497209.44,force_direct,
2020-06-07,244.81,245.45,234.48,241.98,128377.46,30798156.08,force_direct,
2020-06-08,246.55,247.97,240.82,244.81,93327.75,22742596.41,force_direct,
2020-06-09,244.03,249.99,238.91,246.55,111405.53,27163616.8,force_direct,
2020-06-10,248.02,250.56,242.13,244.03,141445.58,34742017.14,force_direct,
2020-06-11,230.15,250.26,225.2,248.02,240952.78,57278415.6,force_direct,
2020-06-12,237.53,239.54,227.84,230.15,133036.85,31226894.99,force_direct,
2020-06-13,238.17,238.8,234.11,237.53,46315.99,10965944.57,force_direct,
