time,open,high,low,close,volumefrom,volumeto,MA7,MA21,EMA,RSI,day_of_week,month
2019-11-26,145.91,149.9,143.57,147.83,72544.44,10641610.1,152.98142857142855,173.76761904761904,166.85173587146082,21.419185282523017,1,11
2019-11-27,147.83,155.89,141.02,153.0,129890.15,19349421.31,149.93142857142857,171.95190476190476,165.5325229313217,26.193088315962697,2,11
2019-11-28,153.0,155.0,149.31,151.01,56243.39,8571699.59,148.53,170.2657142857143,164.14942550929106,26.6239197100641,3,11
2019-11-29,151.01,157.73,150.5,154.75,82606.47,12742712.27,149.21285714285713,168.89095238095237,163.2542421274538,32.28268551236749,4,11
2019-11-30,154.75,155.45,149.6,151.78,45611.18,6938257.97,149.18142857142857,167.32,162.1614571629344,28.629541310141676,5,11
2019-12-01,151.78,152.67,145.97,150.97,59294.95,8836765.04,150.75,165.5147619047619,161.09560409979778,26.64963814389101,6,12
2019-12-02,150.97,151.65,146.82,148.97,42531.01,6321892.47,151.18714285714285,163.81571428571428,159.9407846617218,28.266104756170975,0,12
2019-12-03,148.97,150.0,145.67,147.33,39186.51,5806652.55,151.1157142857143,161.92761904761903,158.73975755108162,28.471801091570654,1,12
2019-12-04,147.33,153.0,143.17,145.5,100067.83,14733195.3,150.0442857142857,159.91714285714286,157.4788282605024,28.27887366360487,2,12
2019-12-05,145.5,148.95,143.8,148.18,48788.48,7150409.06,149.64000000000001,158.18523809523808,156.593225569026,38.62491000719943,3,12
2019-12-06,148.18,149.85,145.75,148.82,45179.42,6677344.98,148.79285714285717,156.70904761904762,155.8529183719759,48.73208379272326,4,12
2019-12-07,148.82,149.88,147.2,147.43,22433.79,3327994.91,148.17142857142858,155.0509523809524,155.05073566988295,44.88928651308433,5,12
2019-12-08,147.43,152.0,146.36,150.68,34844.41,5208228.73,148.12999999999997,153.47,154.6344751298941,64.86787204450627,6,12
2019-12-09,150.68,151.47,146.69,147.3,46822.49,6982717.06,147.89142857142858,152.0152380952381,153.9359536889518,52.080215504340046,0,12
2019-12-10,147.3,148.22,143.81,145.54,42291.98,6182720.67,147.6357142857143,150.57761904761907,153.13633905190878,46.55639097744358,1,12
2019-12-11,145.54,146.29,142.01,143.29,32988.26,4752141.78,147.32,149.09857142857143,152.19859247553651,33.992746455654455,2,12
2019-12-12,143.29,146.12,139.1,144.69,71296.17,10164301.41,146.82142857142858,148.3304761904762,151.48348843024732,39.37457969065233,3,12
2019-12-13,144.69,145.13,142.76,144.7,40038.07,5775166.42,146.23285714285714,148.0795238095238,150.8374419130809,30.680507497116466,4,12
2019-12-14,144.7,145.03,141.11,141.73,35634.32,5097846.88,145.41857142857143,147.59047619047618,149.97006649278748,30.680507497116466,5,12
2019-12-15,141.73,143.99,139.8,142.38,38771.47,5505990.59,144.23285714285714,147.7042857142857,149.2472030172839,33.38491295938104,6,12
2019-12-16,142.38,142.53,129.03,132.36,112774.92,15174304.98,142.09857142857143,147.05904761904762,147.63889796801877,25.47977561263656,0,12
2019-12-17,132.36,132.66,119.5,121.83,190028.13,23910574.37,138.71142857142857,145.8209523809524,145.18090768535032,20.182413470533206,1,12
2019-12-18,121.83,134.81,116.25,132.89,203446.52,25542089.95,137.22571428571428,144.86333333333334,144.0103450486503,37.87266782073473,2,12
2019-12-19,132.89,134.11,125.68,128.18,93934.2,12002731.16,134.86714285714285,143.7761904761905,142.50269313925503,31.4883376527212,3,12
2019-12-20,128.18,129.32,125.71,128.37,44379.22,5655334.88,132.53428571428572,142.52,141.1567223640879,30.912824341982457,4,12
2019-12-21,128.37,128.45,126.63,127.09,25941.74,3303991.95,130.44285714285715,141.34428571428572,139.81703451988906,30.97643097643096,5,12
2019-12-22,127.09,133.22,126.89,132.4,40439.96,5271891.06,129.01714285714286,140.45999999999998,139.11065027989963,33.53746397694523,6,12
2019-12-23,132.4,135.24,126.16,127.78,62248.12,8175356.65,128.36285714285714,139.4509523809524,138.031540729433,32.80479210711768,0,12
2019-12-24,127.78,129.5,126.5,127.71,34976.25,4471662.63,129.20285714285714,138.51666666666668,137.04853685043938,33.81151262030143,1,12
2019-12-25,127.71,127.77,123.16,124.96,45115.8,5635658.4,128.07,137.53857142857146,135.897247626588,33.50728810509267,2,12
2019-12-26,124.96,132.06,124.06,125.49,51892.89,6577204.72,127.68571428571428,136.45809523809524,134.90608118596057,32.44972577696525,3,12
2019-12-27,125.49,126.7,122.15,126.23,39780.97,4977007.97,127.38,135.38238095238097,134.0797877396786,33.33934692404837,4,12
2019-12-28,126.23,129.6,125.8,127.91,47036.69,6007496.99,127.49714285714286,134.45285714285714,133.49218890732826,37.23679349833765,5,12
2019-12-29,127.91,137.85,127.22,134.3,64885.83,8609397.9,127.76857142857143,133.67285714285714,133.56912329710653,43.253173012692066,6,12
2019-12-30,134.3,135.97,129.79,131.1,58811.73,7808217.37,128.24285714285716,132.90142857142857,133.3339686973821,48.812664907651694,0,12
2019-12-31,131.1,133.19,127.6,128.54,85044.39,11033906.75,128.36142857142858,132.09190476190474,132.87740025001236,57.44067420714126,1,12
2020-01-01,128.54,132.68,128.12,130.19,57512.5,7508283.38,129.10857142857142,131.46809523809523,132.6214573690588,46.2163677130045,2,1
2020-01-02,130.19,130.19,125.83,126.81,49211.57,6293167.06,129.29714285714286,130.61666666666665,132.06798523867224,48.00582241630276,3,1
2020-01-03,126.81,134.93,125.52,134.17,88651.89,11639239.54,130.43142857142857,130.1152380952381,132.26817712070346,56.98458574181115,4,1
2020-01-04,134.17,135.75,132.5,134.14,31254.85,4179108.69,131.32142857142856,129.7538095238095,132.44644596635075,58.75341445244596,5,1
2020-01-05,134.14,138.97,134.14,135.31,45353.69,6185761.69,131.46571428571428,129.41714285714284,132.71916539812688,54.027124273456955,6,1
2020-01-06,135.31,144.51,134.78,144.19,91523.61,12875794.24,133.33571428571426,129.98047619047617,133.8116258364005,70.31443426590738,0,1
2020-01-07,144.19,145.25,138.79,143.08,96525.42,13788977.02,135.41285714285715,130.99238095238096,134.6943281376957,68.54936036688392,1,1
2020-01-08,143.08,148.0,137.03,140.6,101682.09,14426088.5,136.9,131.3595238095238,135.25677307696276,68.99902818270164,2,1
2020-01-09,140.6,141.38,135.12,137.71,61185.0,8450308.16,138.45714285714286,131.81333333333333,135.49041373629964,64.03952205882354,3,1
2020-01-10,137.71,145.81,135.26,144.72,137621.0,19453148.04,139.96428571428572,132.59190476190474,136.36942195189016,68.5679855392649,4,1
2020-01-11,144.72,148.0,142.0,142.63,52850.51,7648720.76,141.17714285714285,133.33190476190478,136.96566748028158,64.6613545816733,5,1
2020-01-12,142.63,146.6,141.83,146.6,35450.67,5124196.72,142.79,134.00809523809525,137.88322295835,62.87149434910002,6,1
2020-01-13,146.6,147.0,142.1,143.51,44072.66,6330078.53,142.69285714285715,134.75714285714284,138.41910648612617,63.01657226767359,0,1
2020-01-14,143.51,170.83,143.45,165.76,258408.62,40726380.3,145.93285714285713,136.5690476190476,141.02300110649512,77.62767220902613,1,1
2020-01-15,165.76,172.18,159.13,166.29,165292.69,27320197.59,149.60285714285715,138.53714285714284,143.42938195349558,77.2493961352657,2,1
2020-01-16,166.29,167.28,158.17,163.93,88188.75,14304565.79,153.3485714285714,140.36761904761903,145.38182176744837,78.45752836553206,3,1
2020-01-17,163.93,174.52,162.01,169.59,134919.67,22816696.04,156.90142857142857,142.43238095238095,147.6873625515009,77.88098236775821,4,1
2020-01-18,169.59,179.32,164.92,174.06,113052.32,19587339.32,161.39142857142858,144.63,150.19904230850082,79.37021777516188,5,1
2020-01-19,174.06,178.0,161.7,166.75,113433.69,19215201.05,164.26999999999998,146.1752380952381,151.7753239934055,71.21457489878543,6,1
2020-01-20,166.75,169.3,161.1,166.68,66340.77,10971433.97,167.57999999999998,147.86952380952383,153.1948169464145,67.22315821718487,0,1
2020-01-21,166.68,170.0,164.28,169.19,61518.5,10297632.09,168.07,149.80523809523808,154.71816771342264,69.57564852301695,1,1
2020-01-22,169.19,171.05,165.65,167.68,49452.52,8307208.49,168.26857142857145,151.59047619047618,155.95262793119193,70.60255629945226,2,1
2020-01-23,167.68,167.79,158.44,162.4,69309.04,11257887.82,168.04999999999998,153.2852380952381,156.5666633663165,68.12509176332404,3,1
2020-01-24,162.4,164.21,154.48,162.3,88510.1,14141682.98,167.00857142857146,154.6247619047619,157.1126954266673,64.36274509803923,4,1
2020-01-25,162.3,162.41,157.4,160.12,36677.52,5861782.41,165.0171428571429,155.86190476190478,157.39910538603232,64.26823299069997,5,1
2020-01-26,160.12,167.59,159.09,167.35,44653.74,7318468.23,165.10285714285715,157.38761904761907,158.3468096349816,66.07281177381876,6,1
2020-01-27,167.35,171.7,164.89,169.77,84463.88,14261088.19,165.5442857142857,158.6057142857143,159.43473252688813,70.55416405760805,0,1
2020-01-28,169.77,176.5,169.77,175.99,102264.17,17618176.4,166.5157142857143,160.17285714285714,161.01142466718449,60.68965517241383,1,1
2020-01-29,175.99,178.31,173.13,173.45,85409.92,15039259.33,167.33999999999997,161.73714285714286,162.1960508893574,57.18010429201765,2,1
2020-01-30,173.45,186.89,170.0,184.55,104426.47,18582957.59,170.50428571428571,163.96761904761902,164.3249984237043,67.5938566552901,3,1
2020-01-31,184.55,185.68,175.0,179.74,108639.78,19556960.99,172.99571428571429,165.6352380952381,165.79309381192294,58.78787878787879,4,1
2020-02-01,179.74,184.2,179.0,183.5,65650.17,11963890.4,176.33571428571426,167.58142857142857,167.47946582983505,58.27489481065918,5,2
2020-02-02,183.5,193.52,178.98,188.29,96138.84,18126783.1,179.32714285714286,169.56666666666666,169.46142146508885,69.75421863536316,6,2
2020-02-03,188.29,195.21,186.25,189.42,89093.2,16928428.42,182.1342857142857,171.75285714285715,171.36223846841372,70.45699892047497,0,2
2020-02-04,189.42,191.37,184.29,188.24,89059.71,16696068.21,183.8842857142857,172.82333333333332,172.96964432856478,67.55760368663596,1,2
2020-02-05,188.24,207.93,186.89,204.0,143938.17,28629926.46,188.24857142857144,174.61904761904762,175.9249162972729,76.51094890510949,2,2
2020-02-06,204.0,216.49,200.54,212.95,162316.44,34031052.39,192.3057142857143,176.95333333333335,179.45111474515167,85.0214770680338,3,2
2020-02-07,212.95,224.78,212.94,223.22,161651.51,35505818.26,198.51714285714283,179.50714285714287,183.61958000751818,86.9929560359485,4,2
2020-02-08,223.22,228.4,213.24,223.37,137475.6,30549080.87,204.21285714285713,181.8552380952381,187.40533429251644,89.37865770140705,5,2
